,Comment
0,TRẺ trâu miền bắc chúng tôi hay sủa bậy lắm. Các bạn thông cảm. Còn thực ra thì Các bạn nên tôn trọng chúng tôi. Chúng tôi ko làm gì các bạn.
1,"*****Ai ngu hon ai***
Mot thang bac ki ngeo đói bỏ Hà Nội vao mien nam sinh sông.
Vưa đến Sài Thành nhin thay may chiec xe o salon dep qua nen đứng truoc salon xe đê nhin.
Bất ngờ e chủ tiem salon xe nguoi Nam ra hỏi.
Anh nhìn gi o tiem xe e vay*
Thag băc kỳ tl: ui giời. Bố chúng mầy nhin xe đó.
-E chu xe cuoi va noi: A nhìn 1 chiêc xe,la fai trả cho tiem em 10 ngan, tư nay gio a nhin bao nhiu chiec roi.
Thang băc ky noi: Bố may nhin 5 chiec roi , o đây bố con 50 ngin này, bon may lay di.
E chủ xe lay tien va bỏ vào trong tiem.
Thăg bac ky lien đưa mieng vao tiem xe chui: Địt mẹ:Bố mây nhìn hêt cả 50 chiêc xe,ma bố may noi co 5 chiec bọn bây cung tin.Dung la bon ng nam chug bay ngu thế.😄 😁..Vua noi xong Thằng băc kỳ  3 chan, 4 cẳng,bo chạy khoi tiem salon trong sư vui ve va hp 😃"
2,"Tôi là người miền trung. Sống ở trung 10 năm,sống ở  bắc 10 năm và bây giờ tôi đang sống ở miền nam và tôi có một suy nghĩ riêng như thế này:người miền trung quê tôi họ sống cũng chân thành,sống thật và bảo thủ, ít lắng nghe góp ý từ người khác,hầu hết đều tiết kiệm,còn đa số thanh niên ra thành phố đi làm thì học được những thói hư tật xấu rất nhanh,đua đòi,luôn tỏ ra mình không nghèo,nhưng chịu khó.còn người miền bắc đa số họ sống cho bản thân họ nhiều hơn là cho người khác,ngoại trừ gia đình.họ có thể bất chấp tất cả để có tiền,nên người giàu và giỏi thường người bắc gốc.họ sống hơi thiếu tình cảm,gay gắt có thể cay nghiệt,lòng thương người hạn chế và họ luôn tỏ ra mạnh mẽ và hơn đời.còn 10 năm sống ở nam tôi nhận ra đây mới là cuộc sống ,tôi và nhiều người miền bắc và miền  trung nếu có tính cách hiền hiền xíu đều thích sống.người miền nam,miền tây họ dễ dãi, giọng nói trầm ấm, truyền cảm.họ sống tốt với nhau kể cả người dưng hay người nhà,họ hòa đồng, thoải mái có sao nói vậy,họ không thích thể hiện, có sao sống vậy,chơi vậy.hiền hòa bao dung,nhân ái,nghĩa tình,tốt bụng,họ ít chú ý tới chuyện riêng tư của người khác.tôi phân vân,tôi suy nghĩ tại sao người miền nam họ sống tốt  và làm việc hết mình như vậy .tôi cố gắng từng ngày để hòa nhập với phong cách sống phóng khoáng đó.tôi thích ở Miền Nam một thứ mà bắc hay trung cần học hỏi,đó là bạn bè rủ nhau ra quán nhậu, đi karaoke xong xuôi rồi đến lúc tính tiền đứa nào đứa nấy góp chung vào trả rất vui,có ít góp ít có nhiều góp nhiều.và cuối cùng tôi mong các bạn miền trung và miền bắc khi lết xác vào sài gòn sống thì hãy bỏ lại những phong cách của các bạn ở nhà và học theo phong cách cách của các bạn Miền Nam cho dễ sống nhe,và đừng làm phai nhòa cái lối sống của người miền nam."
3,"Bắc kì con  đi đâu cũng bị khinh như chó.tụi nó cũng bị khuyết tậ
t vì sinh ra mang kiếp bắc kì.kaka"
4,Bắc kì khi sủa thì rất đoàn kết..nhưng cũng cắn nhau tới chết chỉ vì khúc xương
5,Duy Nguyễn
6,"Công nhận bắc nhiều thằng óc mãn tính thật, riêng t cũng là dân bắc nhưng cũng phải thừa nhận như vậy. Má ngu thì éo nói được , được cái mồn lúc nào cũng chủi chủi dkmm"
7,Tao là người miền bắc và tao  ko thích nói xàm ngôn  láo tao đập chết ko thực thi  đừng to mồm
8,Để đơn giản hơn .sự giống nhau thấy rõ nhất của người miền nam và miền trung đó là xưng ba mẹ khác hẳn miền Bắc xưng bố mẹ.Đơn vị tính ở nam và Trung là ngàn còn Bắc là nghìn.thứ 3 người miền Trung và miền nam khi chửi bậy đều dùng từ  đụ.chớ địt thì trong đây tương đương đánh rắm.Nên tốt nhất dân Bắc đừng bắt cầu họ hàng xa xưa nữa.Khi chính chúa Nguyễn Ánh và Nguyễn Huệ đã đánh nát phía Bắc giải phóng dân Bắc khỏi tụi nhà Thanh.
9,Mới đầu ko ưa ông này giờ nghe chưởi bắc kỳ là kết r
10,"Ghét lũ bắc kỳ nhất , nếu Miền Nam mãi mãi không có lũ bắc kỳ thì tốt quá,tàu khựa đã tệ bắc kỳ còn tệ hơn"
11,tao tưởng m chửi cả miền bắc
12,Tại sao tôi lại không ghét người Nam nhưng khi nghe Từ '' Bắc kỳ'' lại thấy bất man nhỉ?
13,Miền tây squad ae tui lề nha m.n
14,Hầu như miền Nam auto ghét bắc
15,"nam kỳ con có ko? có đầy, mọi sự chửi bới đều bắt nguần từ mấy thằng nam kỳ con, vì ngày trước người bắc đéo ghét nam kỳ nhưng nam kỳ sủa dữ quá nên ms phải chửi lại"
16,Năn khác gì Bắc cũng tục thế thôi
17,Đã kí hiệp định ngừng chiến rồi còn đánh cho đc
