,Link,Name,Comment,Rate
0,https://tiki.vn/dong-ho-thong-minh-inwatch-c1-p584220.html?src=search&2hi=0&keyword=%C4%91%E1%BB%93ng+h%E1%BB%93,Đồng Hồ Thông Minh InWatch C1,Shop cho mình hỏi Sản phẫm lỗi sẽ bảo hành như thế nào ạ?,4.0
1,https://tiki.vn/dong-ho-thong-minh-inwatch-c1-p584220.html?src=search&2hi=0&keyword=%C4%91%E1%BB%93ng+h%E1%BB%93,Đồng Hồ Thông Minh InWatch C1,mau hết pin mẫu mã đẹp cung tam gọi la OK với giá tiền như vậy,4.0
2,https://tiki.vn/dong-ho-thong-minh-inwatch-c1-p584220.html?src=search&2hi=0&keyword=%C4%91%E1%BB%93ng+h%E1%BB%93,Đồng Hồ Thông Minh InWatch C1,không tiếp nhận thẻ nhớ và không vào đk fb là sao ạ.,3.0
3,https://tiki.vn/dong-ho-thong-minh-inwatch-c1-p584220.html?src=search&2hi=0&keyword=%C4%91%E1%BB%93ng+h%E1%BB%93,Đồng Hồ Thông Minh InWatch C1,cho mình hỏi con gái đeo đc ko,4.0
4,https://tiki.vn/dong-ho-thong-minh-inwatch-c1-p584220.html?src=search&2hi=0&keyword=%C4%91%E1%BB%93ng+h%E1%BB%93,Đồng Hồ Thông Minh InWatch C1,"Tôi đã mua sản phẩn này! đơn hàng chuyển rất nhanh. Nhưng khi nhận sản phẩm thì không dùng được, liên hệ với trung tâm chăm sóc khách hàng và cũng chưa nhận được bất kỳ sự hổ trợ nào. Sảm phẩm này rất tệ! Đúng là hàng qua mạng. Bó tay!",1.0
5,https://tiki.vn/dong-ho-thong-minh-inwatch-c1-p584220.html?src=search&2hi=0&keyword=%C4%91%E1%BB%93ng+h%E1%BB%93,Đồng Hồ Thông Minh InWatch C1,Đồng hồ dùng tốt – đẹp – giá chưa hợp lý ! có nhiều chỗ thấp hơn !,3.0
6,https://tiki.vn/dong-ho-thong-minh-inwatch-c1-p584220.html?src=search&2hi=0&keyword=%C4%91%E1%BB%93ng+h%E1%BB%93,Đồng Hồ Thông Minh InWatch C1,"đồng hồ màu trắng đen mà gửi màu đồng là sao, chả thèm đổi nữa , sợ đợi lâu",2.0
7,https://tiki.vn/dong-ho-thong-minh-x6-p6150755.html?src=search&2hi=0&keyword=%C4%91%E1%BB%93ng+h%E1%BB%93,Đồng Hồ Thông Minh X6,không sử dụng sau 12 giờ cũng tự hết pin. mới lấy về là đã có đấu hiệu hỏng pin. đề nghị cho viên pin mới,1.0
8,https://tiki.vn/dong-ho-thong-minh-x6-p6150755.html?src=search&2hi=0&keyword=%C4%91%E1%BB%93ng+h%E1%BB%93,Đồng Hồ Thông Minh X6,shop ơi e mới nhận hàng chiều nay mới mở hộp ra thì đồng hồ không lên e sạc pin cũng không lên và quai còn bị đứt mong shop xem xét và đổi lại cho e cái đồng hồ mới ạ,1.0
9,https://tiki.vn/dong-ho-thong-minh-x6-p6150755.html?src=search&2hi=0&keyword=%C4%91%E1%BB%93ng+h%E1%BB%93,Đồng Hồ Thông Minh X6,hang xai te bam ko dc bua dau xai on bua sau la ban ko duoc,1.0
10,https://tiki.vn/dong-ho-thong-minh-x6-p6150755.html?src=search&2hi=0&keyword=%C4%91%E1%BB%93ng+h%E1%BB%93,Đồng Hồ Thông Minh X6,sao mình đặt hàng lâu rồi mà không thấy giao hàng vậy,4.0
11,https://tiki.vn/dong-ho-thong-minh-x6-p6150755.html?src=search&2hi=0&keyword=%C4%91%E1%BB%93ng+h%E1%BB%93,Đồng Hồ Thông Minh X6,"Tôi vừa mua cho con tôi mở ra cài đặt những dảy cảm ứng sát màn hình ko thể bấm đc. Cảm ứng rất kém, nói chung là muốn cài đặt lại nhưng ko thể bấm đc vì cảm màn hình cảm ứng quá tệ, thất vọng cho kiểu làm ăn này",1.0
12,https://tiki.vn/dong-ho-thong-minh-x6-p6150755.html?src=search&2hi=0&keyword=%C4%91%E1%BB%93ng+h%E1%BB%93,Đồng Hồ Thông Minh X6,mặc dù chưa nhận được hàng nhưng tôi thấy nó rất đc giá cả cũng hợp lý nhưng tôi đã đặt hàng gần 2 tuần rồi mà vẫn chưa thấy hàng về . tôi đề nghị là nên ship hàng tới nhanh hơn nữa . cảm ơn,4.0
13,https://tiki.vn/dong-ho-do-ap-suat-lop-xe-bang-co-cho-o-to-xe-may-p2872041.html?src=search&2hi=1&keyword=%C4%91%E1%BB%93ng+h%E1%BB%93,Đồng hồ đo áp suất lốp xe bằng cơ cho ô tô xe máy,Hơi khó đo áp suất :((((((((((((((((((((((((((((((((((((((,4.0
