,Comment
0,"HÃNG PHIM BÌNH MINH CẢM ƠN CẢ NHÀ ĐÃ LUÔN THEO DÕI ỦNG HỘ CHÚNG TÔI, CHÚC CẢ NHÀ NĂM MỚI 2019 LUÔN LUÔN MẠNH KHỎE, HẠNH PHÚC, MAY MẮN, THÀNH CÔNG Ạ! CẢ NHÀ ĐỂ LẠI BÌNH LUẬN VỀ PHIM NHÉ"
1,Không thấy hài đâu toàn quảng cáo với giới thiệu sản phẩm từ đầu đến cuối. Lô
2,https://m.youtube.com/watch?v=6IZSwnTMotI
3,đoạn đua xe tua 2x lên mà xem buồn cười vcđ :))
4,"Chúc những ai đọc đc dòng stt này có năm ms an khang , thịnh vượng !!!
Năm ms và cái gì cũng ms
Nhw lưu ý vs những bn có bồ là đừng có nym nhá 😂😂😂"
5,Xem hài này lại nhớ đến bố. Tết năm nào bố mk cũng xem hài này rồi cười. Đã 6 tháng rồi k còn thấy bố nữa 😢😢😢
6,Phim quay o đồng chằm quốc oai phải không? Mọi người
7,14:39
8,Sao thời buổi bây giờ còn xem phim 144p vậy mọi người? Phải chăng đây là kênh giả mạo?
9,Hay
10,"Chúng mày xem xong thấy zú chán không ? :)
Tml nào còn nhớ mấy cái hài "" Râu quặp, thầy rởm, lên voi... "" ngày xưa thì quay lại like cho tao nhé!"
11,"Phim hài càg ngày chất lượng càg đi xuông, quảng cáo ko tinh tế, chiếm sóng quá nhiều. Câu view bằg những cô hở ngực, hở mông. Thời lượng quá dài, lan man, ko chât lượng."
12,ngày cuối cùng của năm rồi. Chúc mọi người bình anh hạnh phúc nhé
13,vỗ mông là văn hoá xâu bít đây mà ahii tố cáo
14,Xem đại gia chân đất lại thấy không khí tết chuẩn bị đến rồi
15,"Cảm ơn đoàn phim đã cho hương vị ngày tết thêm đậm đà, hạnh phúc, quyết chia sẻ để phim lên top 1 mn nhé"
16,"2:55 để ý góc phải chỗ bức tường ....dm chỗ tao ám ảnh cái taxi 62 ý vcl luôn, đâu cũng thấy....bọn súc vật nó vẽ lên cả tường nhà tao ..hàng xóm tao ...dm tẩy mệt nghỉ ....cứ tưởng địa phận tầm huyện là nó hết mà tđn nó xuất hiện cả trong phim luôn vô tình quảng cáo cho nó 😑😑"
17,Hài sết xi ;))
18,Sao k chỉnh full hd vs speed đc ta
19,Hài đéo toàn thuê chân dài mặc hở hang . Rồi thì quảng cáo từ đầu đến cuối
20,"Cứ mỗi gần tết lại hóng bác Tích với bác Sự..
Cảm ơn chú Bình Trọng <3"
21,"Đại gia chân đất những nam đầu tiên còn hay, hài hước. Còn bây giờ thì càng ngày càng lố bịch, có những hình ảnh nhạy cảm, thiếu văn hóa"
22,Lôm côm haha
23,35:52 ai thấy con áo trắng lộ núm vu ko
24,"Hài hay nè, ai FA muốn kb hay làm quen đi xã giao với e ko ?"
