,Comment,Type,
2977,"ĐNO - Ngày 13-5, siêu du thuyền Aviva thuộc sở hữu của Joe Lewis cập cảng Tiên Sa, bắt đầu chuyến tham quan của tỷ phú người Anh đến thành phố Đà Nẵng.",0,33
2978,"Siêu du thuyền Aviva hạ thủy tháng 1-2017 tại hãng đóng tàu Abeking & Rasmussen (Đức). Siêu du thuyền này có thể đạt vận tốc tối đa 20 hải lý/giờ, vận tốc hành trình 14 hải lý/giờ. Đây là tài sản của tỷ phú người Anh Joe Lewis - tỷ phú xếp hạng 38 thế giới với tổng tài sản ở mức 5,2 tỷ USD.",0,65
2979,Ông Joe Lewis cũng là chủ sở hữu của đội bóng nổi tiếng Tottenham Hotspur xếp hạng 4 giải Ngoại hạng Anh mùa giải 2018-2019 và lọt vào trận chung kết Champions League 2019.,0,34
2980,"Dự kiến trong chuyến viếng thăm này, tỷ phú Joe Lewis sẽ tham quan, tìm hiểu thông tin tổng quan về thành phố Đà Nẵng và thành phố Hội An (tỉnh Quảng Nam).",0,33
2981,"Trước đó, chiếc siêu du thuyền này cập bến và neo đậu tại cảng Sài Gòn (TP. Hồ Chí Minh) vào tối 30-4, xuất hiện trên sông Hậu (Cần Thơ) vào ngày 6-5. Mới đây nhất, siêu du thuyền Aviva neo đậu ở cảng An Thới (Phú Quốc, Kiên Giang) vào ngày 8-5 trước khi xuất hiện tại cảng Tiên Sa. ",0,61
2982,Một số hình ảnh của siêu du thuyền Aviva:,0,9
2983, XUÂN SƠN (thực hiện),0,4
2984,"Boulevard Gelato & Coffee (77 Trần Quốc Toản, quận Hải Châu) là địa chỉ khá thích hợp cho những người chỉ muốn loanh quanh ở trung tâm thành phố những ngày cuối tuần để cà-phê, thư giãn và cả “sống ảo”.",0,41
2985,"Ấn tượng đầu tiên và cũng là điểm cộng hấp dẫn về không gian của Boulevard Gelato & Coffee chính là sự thoáng đãng, hiện đại với thiết kế tối giản cùng hai tông màu trắng, nâu chủ đạo làm toát lên vẻ nhã nhặn, sang trọng. Đơn giản nhưng đầy chăm chút trong từng cách bài trí bàn ghế, của sổ, cửa chính, cầu thang gỗ, không gian ngoài trời, trong nhà… cho thấy sự dụng công của chủ quán.",0,81
2986,"“Mình là người khá khó tính trong việc lựa chọn chỗ ngồi cà-phê cuối tuần. Là dân thiết kế nhà cửa nên đi đâu cũng chăm chắm nhìn không gian, và đây là một trong những địa chỉ mình thích”, Lê Bảo Thành (34 tuổi, trú phường Hòa Cường Bắc, quận Hải Châu) nhận xét.",0,55
2987,"Boulevard Gelato & Coffee có thực đơn phong phú với nhiều loại cà-phê, trà và bánh ngọt, kem tươi để bạn thỏa thích lựa chọn. Tuy nhiên, theo nhiều thực khách quen của quán, kem tươi là món bạn nên thử muốn tìm kiếm chút mới lạ hơn khi đến với Boulevard Gelato & Coffee. Kem được làm từ sữa và những nguyên liệu chất lượng nên bạn có thể hoàn toàn yên tâm thưởng thức.",0,76
2988,"Mức giá từ 35.000-40.000 đồng/thức uống, đồ ăn được đánh giá là hợp lý đối với một chỗ ngồi tại Boulevard Gelato & Coffee. Nhân viên nhanh nhẹn, thân thiện ghi thêm điểm cộng cho địa chỉ. Tuy nhiên, chỗ đậu đỗ xe luôn là vấn đề đối với nhiều địa chỉ ở khu vực trung tâm và Boulevard Gelato & Coffee không là ngoại lệ, vì vậy bạn nên lưu tâm chút vấn đề này.",0,76
2989,"ĐNO - Trong vô vàn các món ăn dân dã của miền Trung, bánh căn luôn là món ăn hấp dẫn đủ để ""gây nghiện"" cho người dân địa phương và cả những ai khi đến Đà Nẵng. Cũng là những chiếc bánh nhỏ được làm từ bột gạo, có hình tròn, song, so với bánh cùng loại ở Nha Trang và Đà Lạt thì bánh căn Đà Nẵng có một nét riêng khác biệt từ cách ăn cho đến hình thức.",0,82
2990,"Ngày trước, ở Đà Nẵng, phải đến mùa lạnh, người ta mới bán bánh căn vì món ăn này khá nóng. Tuy nhiên, những năm gần đây, nhằm phục vụ nhu cầu của thực khách, đa phần các quán bánh căn ở Đà Nẵng bán quanh năm và thường bán vào chiều tối.",0,53
