,Comment,Type
0,"Một quả bom đã giết chết ít nhất một người và làm bị thương thêm 16 người trong buổi cầu nguyện tại một nhà thờ Hồi giáo ở Quetta, Pakistan, truyền thông địa phương đưa tin.",0.0
1,"Theo đài truyền hình Geo TV, vụ nổ diễn ra trong buổi cầu nguyện có khoảng 30 đến 40 người tham gia.",0.0
2,"Quả bom được giấu gần bục giảng đạo của nhà thờ Hồi giáo Rehmania, đài phát thanh nhà nước Pakistan dẫn thông tin cảnh sát cho hay.",0.0
3,Nguyên nhân vụ việc hiện chưa rõ ràng và chưa có nhóm nào nhận trách nhiệm về thảm kịch trên.,0.0
4,"Theo báo cáo từ truyền thông địa phương, cảnh sát và nhân viên y tế đã đưa các nạn nhân đến bệnh viện trong khi toàn bộ khu vực được đặt trong tình trạng giới nghiêm.",0.0
5,"Cảnh sát cho biết, 3 trong số những người bị thương đang trong tình trạng nguy kịch. Phụ nữ và trẻ em cũng là nạn nhân trong vụ nổ.",0.0
6,"Tuyên bố của Thủ tướng Anh được đưa ra sau khi các nghị sĩ Anh tiếp tục chỉ trích kế hoạch Brexit của Chính phủ. Sự bất đồng về Brexit trong chính quyền Thủ tướng Theresa May đã dẫn đến sự từ chức của nhà lãnh đạo Hạ viện Andrea Leadsom hôm 22/5, trong khi phe đối lập đã kêu gọi nhanh chóng tổng tuyển cử để giải quyết vấn đề này.",0.0
7,Thủ tướng Anh cho biết bà sẽ từ chức Chủ tịch đảng Bảo thủ vào ngày 7/6 tới đây. Bà May cũng nhấn mạnh sẽ tiếp tục lãnh đạo Chính phủ cho đến khi người kế nhiệm được chọn.,0.0
8,"""Tôi biết rằng đảng Bảo thủ có thể tự đổi mới trong những năm tới và chúng tôi có thể phục vụ người dân Anh bằng các chính sách lấy cảm hứng từ các giá trị của chúng tôi"", bà May cho biết.",0.0
9,"Bình luận về việc từ chức, Ngoại trưởng Anh Jeremy Hunt lưu ý bà May là nhà lãnh đạo đã làm cho đất nước trở nên an toàn hơn.",0.0
10,"""Tôi muốn vinh danh Thủ tướng hôm nay. Brexit luôn luôn là một nhiệm vụ to lớn, nhưng bà ấy đã đối diện nó mỗi ngày với lòng can đảm và quyết tâm"", ông viết trên Twitter.",0.0
11,"Trong khi đó, nhà lãnh đạo phe đối lập Jeremy Corbyn nhắc lại rằng đất nước phải tổ chức các cuộc bầu cử để giải quyết vấn đề Brexit.",0.0
12,"Vương quốc Anh ban đầu ấn định sẽ rời Liên minh châu Âu vào ngày 29/3. Các bên đã đồng ý về một thỏa thuận rời khỏi EU, nhưng Quốc hội đã từ chối thông qua xoay quanh vấn đề Ireland.",0.0
13,Thổ Nhĩ Kỳ tránh chỉ trích Nga ở Idlib,0.0
14,"Tình hình leo thang ở Idlib đã phơi bày các giới hạn trong sự hợp tác Thổ Nhĩ Kỳ-Nga ở Syria. Trước nhu cầu duy trì mối quan hệ tốt đẹp với Moscow, Ankara đã không thể công khai chỉ trích Nga về việc tham gia vào các hoạt động quân sự của chính quyền Syria ở tỉnh Idlib, tờ Al-Monitor nhận định.",0.0
15,"Trong một phản ứng thận trọng, Ankara đã từ chối nói về sự liên quan của Nga trong các hoạt động tấn công những ngày qua ở Idlib. Thay vào đó, nước này chỉ hô hào Moscow ngăn chặn chính quyền Syria phát động các cuộc tấn công.",0.0
16,"Sau cuộc họp ngày 10/5 với các tướng lĩnh hàng đầu ở tỉnh Hatay, gần biên giới Syria, Bộ trưởng Quốc phòng Thổ Nhĩ Kỳ Hulusi Akar đã kêu gọi Nga thực hiện các biện pháp hiệu quả để ngăn chặn các hoạt động của chính quyền ở Idlib.",0.0
17,"Ông Akar lập luận rằng chính quyền Syria đang cố gắng giành quyền kiểm soát các vùng lãnh thổ ở phía Nam tỉnh Idlib, vi phạm các thỏa thuận đạt được giữa Thổ Nhĩ Kỳ, Nga và Iran theo tiến trình Astana.",0.0
18,"Tuy nhiên, Moscow tiếp tục phàn nàn rằng Thổ Nhĩ Kỳ đã không thực hiện nghĩa vụ của mình sau thỏa thuận ngừng bắn vào năm ngoái. Sau cuộc họp tháng 4 của nhóm Astana tại Kazakhstan, đặc phái viên Syria của Nga Alexander Lavrentiev đã công khai sự bất mãn của Moscow về vấn đề này.",0.0
19,"“Bạn bè người Thổ Nhĩ Kỳ của chúng tôi đã thất bại trong việc loại bỏ những kẻ khủng bố còn lại ở Idlib. Việc HTS giành được quyền kiểm soát một phần lớn lãnh thổ đã dẫn đến nhiều câu hỏi và là một sự thất vọng lớn đối với chúng tôi”, ông Lavrentiev nói với các phóng viên.",0.0
20,"Về cơ bản, Ankara đã kiềm chế không phản ứng với những chỉ trích như vậy của Nga, thay vào đó, quốc gia này đổ lỗi cho chính quyền Syria về tình hình ở Idlib.",0.0
21,"Viết trên Hurriyet News, nhà phân tích chính sách đối ngoại kỳ cựu Sedat Ergin cho rằng, có vẻ như các cuộc điện đàm ngoại giao chuyên sâu giữa Ankara và Moscow không thể tác động làm thay đổi tình hình ở Idlib.",0.0
