,Link,Name,Comment,Rate
0,https://www.lazada.vn/products/dong-ho-dien-tu-unisex-da-sac-mau-day-cao-su-chong-nuoc-i270800342-s402470480.html?search=1,Đồng hồ điện tử Unisex đa sắc màu dây cao su chống nước,Đặt 2 cái 1 cái màu trắng vs 1 cái màu vàng sau cái màu trắng ko giống mẫu vậy shop ,4.0
1,https://www.lazada.vn/products/dong-ho-dien-tu-unisex-da-sac-mau-day-cao-su-chong-nuoc-i270800342-s402470480.html?search=1,Đồng hồ điện tử Unisex đa sắc màu dây cao su chống nước,"Đóng gói sản phẩm đẹp và chắc chắn, giao đúng màu, tuy nhiên mặt đồng hồ có hơi trầy xước một chút ",4.0
2,https://www.lazada.vn/products/dong-ho-dien-tu-unisex-da-sac-mau-day-cao-su-chong-nuoc-i270800342-s402470480.html?search=1,Đồng hồ điện tử Unisex đa sắc màu dây cao su chống nước,"đồng hồ hợp giá tiền , mặt đồng hồ có hơi xước 
đồng hồ nhìn chung thì ok, cảm ơn shop nhiều :)",4.0
3,https://www.lazada.vn/products/dong-ho-dien-tu-unisex-da-sac-mau-day-cao-su-chong-nuoc-i270800342-s402470480.html?search=1,Đồng hồ điện tử Unisex đa sắc màu dây cao su chống nước,Đồng hồ kh chỉnh giờ được shop ơi,3.0
4,https://www.lazada.vn/products/dong-ho-dien-tu-unisex-da-sac-mau-day-cao-su-chong-nuoc-i270800342-s402470480.html?search=1,Đồng hồ điện tử Unisex đa sắc màu dây cao su chống nước,Mua hai cai vàng và trắng . Cai mau trắng ko chỉnh dc thời gian nha shop . Cho 2 sao ,2.0
5,https://www.lazada.vn/products/tang-vong-ty-huu-phong-thuy-may-man-dong-ho-nam-khac-rong-3d-sang-trong-danh-cho-quy-ong-dang-cap-i246757029-s317882396.html?search=1,(TẶNG VÒNG TỲ HƯU PHONG THỦY MAY MẮN) Đồng Hồ Nam Khắc Rồng 3D Sang Trọng Dành Cho Quý Ông Đẳng Cấp,Hàng ok nhưng giao hàng lâu,4.0
6,https://www.lazada.vn/products/tang-vong-ty-huu-phong-thuy-may-man-dong-ho-nam-khac-rong-3d-sang-trong-danh-cho-quy-ong-dang-cap-i246757029-s317882396.html?search=1,(TẶNG VÒNG TỲ HƯU PHONG THỦY MAY MẮN) Đồng Hồ Nam Khắc Rồng 3D Sang Trọng Dành Cho Quý Ông Đẳng Cấp,cx đc ,3.0
7,https://www.lazada.vn/products/dong-ho-the-thao-nu-sport-watch-samda-i206392434-s405168720.html?search=1,Đồng hồ thể thao nữ Sport watch samda,"đồng hồ đẹp, nói chung thì hợp giá tiền nhưng khi nhận hàng trên dây đồng hồ có dính cái j màu xanh xanh í,đc tặng kèm pin,mặt đồng hồ hơi nhỏ như trong hình. cho 4* thui",4.0
8,https://www.lazada.vn/products/dong-ho-the-thao-nu-sport-watch-samda-i206392434-s405168720.html?search=1,Đồng hồ thể thao nữ Sport watch samda,đồng hồ chạy êm,4.0
9,https://www.lazada.vn/products/dong-ho-the-thao-nu-sport-watch-samda-i206392434-s405168720.html?search=1,Đồng hồ thể thao nữ Sport watch samda,giống hình ,4.0
10,https://www.lazada.vn/products/dong-ho-the-thao-nu-sport-watch-samda-i206392434-s405168720.html?search=1,Đồng hồ thể thao nữ Sport watch samda,Được nhưng màng hình tối quá nhìn ko rõ ,2.0
11,https://www.lazada.vn/products/dong-ho-nam-nibosi-1985-day-thep-luoi-mong-cao-cap-full-6-kim-lich-ngay-full-box-i221417077-s278411494.html?search=1,Đồng hồ nam NIBOSI 1985 dây thép lưới mỏng cao cấp full 6 kim lịch ngày (full box),mới mua về đạ thấy 1 kim bị bong ra rồi. ,2.0
