,Link,Name,Question,Answer
0,https://www.lazada.vn/products/dong-ho-nam-geneva-thoi-trang-day-da-gv005-den-i223429940-s281503071.html?search=1,Đồng hồ nam Geneva thời trang dây da GV005 (Đen),Sp có pin sẵn chưa bạn,"dạ chào bạn, sản phẩm có pin sẵn luôn nha"
1,https://www.lazada.vn/products/dong-ho-nam-geneva-thoi-trang-day-da-gv005-den-i223429940-s281503071.html?search=1,Đồng hồ nam Geneva thời trang dây da GV005 (Đen),có nhúng nước đc k shop,"chào bạn, rất tiếc sản phẩm này không chống nước được bạn nha"
2,https://www.lazada.vn/products/dong-ho-nam-geneva-thoi-trang-day-da-gv005-den-i223429940-s281503071.html?search=1,Đồng hồ nam Geneva thời trang dây da GV005 (Đen),shop oi.mẫu dh nay có viền mặt màu trắng ko.cám ơn shop!,"dạ chào bạn, rất tiếc là shop chỉ có viền vàng thôi ko có màu trắng bạn ạ"
3,https://www.lazada.vn/products/dong-ho-nam-geneva-thoi-trang-day-da-gv005-den-i223429940-s281503071.html?search=1,Đồng hồ nam Geneva thời trang dây da GV005 (Đen),coi thgian s z shop,"chào bạn, sản phẩm này thiết kế dạng thời trang nên ko co 12 mốc giờ, bạn xem thời xem như 24h bình xem kiểu thuộc lòng nha bạn"
4,https://www.lazada.vn/products/dong-ho-nam-geneva-thoi-trang-day-da-gv005-den-i223429940-s281503071.html?search=1,Đồng hồ nam Geneva thời trang dây da GV005 (Đen),co may mau shop,"chào bạn, mẫu này chỉ có 1 màu đen thôi bạn nha"
5,https://www.lazada.vn/products/dong-ho-nam-geneva-thoi-trang-day-da-gv005-den-i223429940-s281503071.html?search=1,Đồng hồ nam Geneva thời trang dây da GV005 (Đen),"có chỉnh đk thời gian k shop , chống nước k","dạ mẫu này chỉnh giờ được nha bạn,và không chống nước nha"
6,https://www.lazada.vn/products/dong-ho-nam-geneva-thoi-trang-day-da-gv005-den-i223429940-s281503071.html?search=1,Đồng hồ nam Geneva thời trang dây da GV005 (Đen),Còn k shop,Còn hàng bạn
7,https://www.lazada.vn/products/dong-ho-nam-geneva-thoi-trang-day-da-gv005-den-i223429940-s281503071.html?search=1,Đồng hồ nam Geneva thời trang dây da GV005 (Đen),còn hàng không ạ??,Còn bạn
8,https://www.lazada.vn/products/dong-ho-nu-skmei-thoi-trang-day-day-sk016-i260239037-s364551050.html?search=1,Đồng hồ nữ Skmei thời trang dây dây SK016,Mình xài đc 3 ngày thì kim ko chạy. Ko biết bị gì T.T,"có thể hết pin đó ạ, bạn thay pin giúp shop nhé, shop gói hàng có gửi kèm pin ạ"
9,https://www.lazada.vn/products/dong-ho-nu-skmei-thoi-trang-day-day-sk016-i260239037-s364551050.html?search=1,Đồng hồ nữ Skmei thời trang dây dây SK016,đồng hồ có chông nước không ạ?,"dạ chạo bạn, đồng hồ có chống nước ở mức rửa tay, rửa mặt, hoặc đi mưa nha"
10,https://www.lazada.vn/products/dong-ho-nu-julius-han-quoc-day-da-ja-1070e-nau-i210157871-s262641961.html?search=1,Đồng Hồ Nữ Julius Hàn Quốc Dây Da JA-1070E (Nâu),may dong ho nu cua hang nao co dam bao ve moi phuong dien ko ?.,"dạ chào bạn, đồng hồ của hãng Julius Hàn Quốc chất lượng đảm bảo, được bảo hành 12 tháng và hậu mãi 3 năm ạ"
11,https://www.lazada.vn/products/dong-ho-nu-julius-han-quoc-ja-732-i141557770-s147186044.html?search=1,Đồng Hồ Nữ Julius Hàn Quốc JA-732,"cho hỏi mua trực tiếp ở cửa hàng thì có khuyễn mãi 30% như trên Web không? cho mình địa chỉ khu vực Q1, BT, Thủ đức với?","Dạ chào bạn. Bạn ghé 129 Phan Đình Phùng, phường 17, quận Phú Nhuận (Gần chợ Phú Nhuận) để xem hàng nhé! Mua trực tiếp tại cửa hàng không khuyến mãi giảm 30% bạn nhé !"
12,https://www.lazada.vn/products/dong-ho-nu-julius-han-quoc-ja-732-i141557770-s147186044.html?search=1,Đồng Hồ Nữ Julius Hàn Quốc JA-732,e ở biên hòa-đồng nai thì tới shop gần nhất ở đâu a?,"Dạ chi nhánh gần nhất của Shop là Siêu thị Aeon Mall ,Lầu Trệt, Cổng D, Đối diện nhà sách Phương Nam, Số 1 Đại Lộ Bình Dương, Khu phố Bình Giao, Thuận Giao, Tx. Thuận An ạ ! Bạn có thể đặt hàng trực tiếp với shop sẽ được kiểm tra hàng trước khi thanh toán và từ chối nhận hàng nếu không ưng ý mà không cần tốn bất kỳ chi phí nào nhé !"
