Link,Name,Comment,Rate
https://www.lazada.vn/products/dong-ho-thong-minh-xiaomi-amazfit-bip-hang-chinh-hang-i211151381-s279308570.html?search=1,Đồng Hồ Thông Minh Xiaomi Amazfit Bip - Hàng Chính Hãng,"hàng tồn kho sx từ 2017, mua hàng mới tinh mà đã hết BH từ năm ngoái,LH bảo gửi hoá đơn thì ko TL,dấu hiệu cố tình trốn thuế. sẽ có đơn từ tố cáo đầy đủ",1
https://www.lazada.vn/products/dong-ho-thong-minh-xiaomi-amazfit-bip-hang-chinh-hang-i211151381-s279308570.html?search=1,Đồng Hồ Thông Minh Xiaomi Amazfit Bip - Hàng Chính Hãng,"Không thấy xuất hoá đơn và phiếu bảo hành?
Pin Sản phẩm sử dụng không được 45 ngày liên tục như quảng cáo ( thực tế sạc đầy 6 tiếng mà chỉ dùng được 1 tuần )",2
https://www.lazada.vn/products/dong-ho-thong-minh-xiaomi-amazfit-bip-hang-chinh-hang-i211151381-s279308570.html?search=1,Đồng Hồ Thông Minh Xiaomi Amazfit Bip - Hàng Chính Hãng,"hàng nhận nhanh, đóng gói cẩn thận.
mầu sản phẩm không hẳn trắng như mẫu hoặc mô tả. mầu ghi xám nhạt. nếu biết ko phải là màu trắng tinh thì sẽ đặt mầu đen.
mới nhận nên chưa có nhiều cảm nhận. giao diện nhìn ko mượt, nét chữ và hình ảnh hơi giống đồ chơi.",4
https://www.lazada.vn/products/dong-ho-thong-minh-xiaomi-amazfit-bip-hang-chinh-hang-i211151381-s279308570.html?search=1,Đồng Hồ Thông Minh Xiaomi Amazfit Bip - Hàng Chính Hãng,"chính hãng , dùng tốt",5
https://www.lazada.vn/products/dong-ho-thong-minh-xiaomi-amazfit-bip-hang-chinh-hang-i211151381-s279308570.html?search=1,Đồng Hồ Thông Minh Xiaomi Amazfit Bip - Hàng Chính Hãng,"Sản phẩm y như hình, giao hàng nhanh, uy tín",5
https://www.lazada.vn/products/dong-ho-deo-tay-thong-minh-xiaomi-amazfit-bip-hang-phan-phoi-chinh-thuc-i248273943-s324450162.html?search=1,Đồng hồ đeo tay thông minh Xiaomi Amazfit Bip - Hãng phân phối chính thức,"hàng chính hãng Digiworld, giá Sự kiện sinh nhật giảm sâu. màn hình tốt, rõ nét, nhìn tốt dưới ánh mặ trời, ban đầu vẫn lỗi font khi nhận thông báo tiếng việt tuy nhiên tìm hiểu trên mạng cubgx dễ dàng nâng cấp font hiển thị tiếng việt. đồng hồ ngon, pin trâu, đánh giá 5* cho sản phẩm và cho Lazada",5
https://www.lazada.vn/products/dong-ho-deo-tay-thong-minh-xiaomi-amazfit-bip-hang-phan-phoi-chinh-thuc-i248273943-s324450162.html?search=1,Đồng hồ đeo tay thông minh Xiaomi Amazfit Bip - Hãng phân phối chính thức,"Giao hàng nhanh, đóng gói rất kỹ. Hàng chuẩn quốc tế nguyên seal full box, mọi tính năng hoạt động tốt. Đồng hồ càng ra nắng càng rõ, nhìn chung không hề có cảm giác rẻ tiền, rất đẹp, rất ưng. Không tin vào mắt mình khi săn được deal tháng 12 giá rẻ không tưởng. Cảm ơn Lazada.",5
https://www.lazada.vn/products/dong-ho-deo-tay-thong-minh-xiaomi-amazfit-bip-hang-phan-phoi-chinh-thuc-i248273943-s324450162.html?search=1,Đồng hồ đeo tay thông minh Xiaomi Amazfit Bip - Hãng phân phối chính thức,đẹp,5
https://www.lazada.vn/products/dong-ho-deo-tay-thong-minh-xiaomi-amazfit-bip-hang-phan-phoi-chinh-thuc-i248273943-s324450162.html?search=1,Đồng hồ đeo tay thông minh Xiaomi Amazfit Bip - Hãng phân phối chính thức,"đồng hồ cũng tốt nhưng không phải  loại mình mua. mình chưa đọc kỹ về sản phẩm và mình đã đổi trả, mình đổi trả thông qua TK nhưng vẫn chưa thấy trả khoản",1
https://www.lazada.vn/products/dong-ho-deo-tay-thong-minh-xiaomi-amazfit-bip-hang-phan-phoi-chinh-thuc-i248273943-s324450162.html?search=1,Đồng hồ đeo tay thông minh Xiaomi Amazfit Bip - Hãng phân phối chính thức,đồng hồ đeo hơi nhỏ. có hạt bụi phía trong. mình dùng4 ngày ở chế độ thường mà hết hơn 30% pin. ,2
